date,value
1/31/1975,29.18464
2/28/1975,33.30946
3/31/1975,41.93559
4/30/1975,56.61779
5/30/1975,64.63995
6/30/1975,69.52162
7/31/1975,68.11622
8/29/1975,59.98363
9/30/1975,67.10361
10/31/1975,73.55846
11/28/1975,72.00471
12/31/1975,70.17786
1/30/1976,70.731
2/27/1976,77.50866
3/31/1976,73.33693
4/30/1976,71.93955
5/31/1976,70.59141
6/30/1976,74.08428
7/30/1976,73.90692
8/31/1976,74.93005
9/30/1976,70.30175
10/29/1976,70.09361
11/30/1976,68.46764
12/31/1976,67.56624
1/31/1977,68.39851
2/28/1977,60.47171
3/31/1977,56.39485
4/29/1977,50.38973
5/31/1977,46.26643
6/30/1977,40.0078
7/29/1977,42.2721
8/31/1977,40.48398
9/30/1977,42.6509
10/31/1977,31.98222
11/30/1977,31.09293
12/30/1977,40.73185
1/31/1978,35.97601
2/28/1978,39.02021
3/31/1978,38.53718
4/28/1978,37.39808
5/31/1978,37.28684
6/30/1978,40.59447
7/31/1978,43.90245
8/31/1978,42.54958
9/29/1978,39.98277
10/31/1978,52.96
11/30/1978,48.27261
12/29/1978,36.96534
1/31/1979,35.64351
2/28/1979,30.72911
3/30/1979,41.24192
4/30/1979,33.6556
5/31/1979,32.06705
6/29/1979,23.04999
7/31/1979,20.57348
8/31/1979,22.75569
9/28/1979,19.02779
10/31/1979,18.89884
11/30/1979,27.66657
12/31/1979,29.64766
1/31/1980,41.04619
2/29/1980,43.5922
3/31/1980,43.12916
4/30/1980,50.75643
5/30/1980,51.13332
6/30/1980,56.58482
7/31/1980,61.09713
8/29/1980,69.05336
9/30/1980,74.28287
10/31/1980,76.35077
11/28/1980,71.98491
12/31/1980,73.86769
1/30/1981,71.19619
2/27/1981,74.41919
3/31/1981,70.86971
4/30/1981,65.06354
5/29/1981,60.51672
6/30/1981,61.7592
7/31/1981,57.61465
8/31/1981,55.21833
9/30/1981,51.33198
10/30/1981,50.23484
11/30/1981,48.84192
12/31/1981,52.05776
1/29/1982,51.55696
2/26/1982,52.07497
3/31/1982,49.22476
4/30/1982,60.04197
5/31/1982,60.0895
6/30/1982,56.30169
7/30/1982,66.49533
8/31/1982,69.00274
9/30/1982,71.86853
10/29/1982,77.13632
11/30/1982,81.79486
12/31/1982,80.10237
1/31/1983,78.83609
