date,L1_score,L2_score,L3_score,L4_score
2006-01-04,27.9,28.4,49.9,22.4
2006-02-08,27.9,28.4,49.9,22.4
2006-03-08,27.9,28.4,49.9,22.4
2006-04-05,27.9,28.4,49.9,22.4
2006-05-03,27.9,28.4,49.9,22.4
2006-06-07,27.9,28.4,49.9,22.4
2006-07-05,27.9,28.4,49.9,22.4
2006-08-02,27.9,28.4,49.9,22.4
2006-09-06,27.9,28.4,49.9,22.4
2006-10-04,27.9,28.4,49.9,22.4
2006-11-08,27.9,28.4,49.9,22.4
2006-12-06,27.9,28.4,49.9,22.4
2007-01-03,27.9,28.4,49.9,22.4
2007-02-07,27.9,28.4,49.9,22.4
2007-03-07,27.9,28.4,49.9,22.4
2007-04-04,27.9,28.4,49.9,22.4
2007-05-02,27.9,28.4,49.9,22.4
2007-06-06,27.9,28.4,49.9,22.4
2007-07-04,27.9,28.4,49.9,22.4
2007-08-08,27.9,28.4,49.9,22.4
2007-09-05,27.9,28.4,49.9,22.4
2007-10-03,27.9,28.4,49.9,22.4
2007-11-07,27.9,28.4,49.9,22.4
2007-12-05,27.9,28.4,49.9,22.4
2008-01-02,27.9,28.4,49.9,22.4
2008-02-06,27.9,28.4,49.9,22.4
2008-03-05,27.9,28.4,49.9,22.4
2008-04-02,27.9,28.4,49.9,22.4
2008-05-07,27.9,28.4,49.9,22.4
2008-06-04,27.9,28.4,49.9,22.4
2008-07-02,27.9,28.4,49.9,22.4
2008-08-06,27.9,28.4,49.9,22.4
2008-09-03,27.9,28.4,49.9,22.4
2008-10-08,27.9,28.4,49.9,22.4
2008-11-05,27.9,28.4,49.9,22.4
2008-12-03,27.9,28.4,49.9,22.4
2009-01-07,27.9,28.4,49.9,22.4
2009-02-04,27.9,28.4,49.9,22.4
2009-03-04,27.9,28.4,49.9,22.4
2009-04-08,27.9,28.4,49.9,22.4
2009-05-06,27.9,28.4,49.9,22.4
2009-06-03,27.9,28.4,49.9,22.4
2009-07-08,27.9,28.4,49.9,22.4
2009-08-05,27.9,28.4,49.9,22.4
2009-09-02,27.9,28.4,49.9,22.4
2009-10-07,27.9,28.4,49.9,22.4
2009-11-04,27.9,28.4,49.9,22.4
2009-12-02,27.9,28.4,49.9,22.4
2010-01-06,27.9,28.4,49.9,22.4
2010-02-03,27.9,28.4,49.9,22.4
2010-03-03,27.9,28.4,49.9,22.4
2010-04-07,27.9,28.4,49.9,22.4
2010-05-05,27.9,28.4,49.9,22.4
2010-06-02,27.9,28.4,49.9,22.4
2010-07-07,27.9,28.4,49.9,22.4
2010-08-04,27.9,28.4,49.9,22.4
2010-09-08,27.9,28.4,49.9,22.4
2010-10-06,27.9,28.4,49.9,22.4
2010-11-03,27.9,28.4,49.9,22.4
2010-12-08,27.9,28.4,49.9,22.4
2011-01-05,27.9,28.4,49.9,22.4
2011-02-02,27.9,28.4,49.9,22.4
2011-03-02,27.9,28.4,49.9,22.4
2011-04-06,27.9,28.4,49.9,22.4
2011-05-04,27.9,28.4,49.9,22.4
2011-06-08,27.9,28.4,49.9,22.4
2011-07-06,27.9,28.4,49.9,22.4
2011-08-03,27.9,28.4,49.9,22.4
2011-09-07,27.9,28.4,49.9,22.4
2011-10-05,27.9,28.4,49.9,22.4
2011-11-02,27.9,28.4,49.9,22.4
2011-12-07,27.9,28.4,49.9,22.4
2012-01-04,27.9,28.4,49.9,22.4
2012-02-08,27.9,28.4,49.9,22.4
2012-03-07,27.9,28.4,49.9,22.4
2012-04-04,27.9,28.4,49.9,22.4
2012-05-02,27.9,28.4,49.9,22.4
2012-06-06,27.9,28.4,49.9,22.4
2012-07-04,27.9,28.4,49.9,22.4
2012-08-08,27.9,28.4,49.9,22.4
2012-09-05,27.9,28.4,49.9,22.4
2012-10-03,27.9,28.4,49.9,22.4
2012-11-07,27.9,28.4,49.9,22.4
2012-12-05,27.9,28.4,49.9,22.4
2013-01-02,27.9,28.4,49.9,22.4
2013-02-06,27.9,28.4,49.9,22.4
2013-03-06,27.9,28.4,49.9,22.4
2013-04-03,27.9,28.4,49.9,22.4
2013-05-08,27.9,28.4,49.9,22.4
2013-06-05,27.9,28.4,49.9,22.4
2013-07-03,27.9,28.4,49.9,22.4
2013-08-07,27.9,28.4,49.9,22.4
2013-09-04,27.9,28.4,49.9,22.4
2013-10-02,27.9,28.4,49.9,22.4
2013-11-06,27.9,28.4,49.9,22.4
2013-12-04,27.9,28.4,49.9,22.4
