date,L1_score,L2_score,L3_score,L4_score
2006-01-04,27.9,28.4,49.9,22.4
2006-02-08,27.9,28.4,49.9,22.4
2006-03-08,27.9,28.4,49.9,22.4
2006-04-05,27.9,28.4,49.9,22.4
2006-05-03,27.9,28.4,49.9,22.4
2006-06-07,27.9,28.4,49.9,22.4
2006-07-05,27.9,28.4,49.9,22.4
2006-08-02,27.9,28.4,49.9,22.4
2006-09-06,27.9,28.4,49.9,22.4
2006-10-04,27.9,28.4,49.9,22.4
2006-11-08,27.9,28.4,49.9,22.4
2006-12-06,27.9,28.4,49.9,22.4
2007-01-03,27.9,28.4,49.9,22.4
2007-02-07,27.9,28.4,49.9,22.4
2007-03-07,27.9,28.4,49.9,22.4
2007-04-04,27.9,28.4,49.9,22.4
2007-05-02,27.9,28.4,49.9,22.4
2007-06-06,27.9,28.4,49.9,22.4
2007-07-04,27.9,28.4,49.9,22.4
2007-08-08,27.9,28.4,49.9,22.4
2007-09-05,27.9,28.4,49.9,22.4
2007-10-03,27.9,28.4,49.9,22.4
2007-11-07,27.9,28.4,49.9,22.4
2007-12-05,27.9,28.4,49.9,22.4
2008-01-02,27.9,28.4,49.9,22.4
2008-02-06,27.9,28.4,49.9,22.4
2008-03-05,27.9,28.4,49.9,22.4
2008-04-02,27.9,28.4,49.9,22.4
2008-05-07,27.9,28.4,49.9,22.4
2008-06-04,27.9,28.4,49.9,22.4
2008-07-02,27.9,28.4,49.9,22.4
2008-08-06,27.9,28.4,49.9,22.4
2008-09-03,27.9,28.4,49.9,22.4
2008-10-08,27.9,28.4,49.9,22.4
2008-11-05,27.9,28.4,49.9,22.4
2008-12-03,27.9,28.4,49.9,22.4
2009-01-07,27.9,28.4,49.9,22.4
2009-02-04,27.9,28.4,49.9,22.4
2009-03-04,27.9,28.4,49.9,22.4
2009-04-08,27.9,28.4,49.9,22.4
2009-05-06,27.9,28.4,49.9,22.4
2009-06-03,27.9,28.4,49.9,22.4
2009-07-08,27.9,28.4,49.9,22.4
2009-08-05,27.9,28.4,49.9,22.4
2009-09-02,27.9,28.4,49.9,22.4
2009-10-07,27.9,28.4,49.9,22.4
2009-11-04,27.9,28.4,49.9,22.4
2009-12-02,27.9,28.4,49.9,22.4
2010-01-06,27.9,28.4,49.9,22.4
2010-02-03,27.9,28.4,49.9,22.4
2010-03-03,27.9,28.4,49.9,22.4
2010-04-07,27.9,28.4,49.9,22.4
2010-05-05,27.9,28.4,49.9,22.4
2010-06-02,27.9,28.4,49.9,22.4
2010-07-07,27.9,28.4,49.9,22.4
2010-08-04,27.9,28.4,49.9,22.4
2010-09-08,27.9,28.4,49.9,22.4
2010-10-06,27.9,28.4,49.9,22.4
2010-11-03,27.9,28.4,49.9,22.4
2010-12-08,27.9,28.4,49.9,22.4
2011-01-05,27.9,28.4,49.9,22.4
2011-02-02,27.9,28.4,49.9,22.4
2011-03-02,27.9,28.4,49.9,22.4
2011-04-06,27.9,28.4,49.9,22.4
2011-05-04,27.9,28.4,49.9,22.4
2011-06-08,27.9,28.4,49.9,22.4
2011-07-06,27.9,28.4,49.9,22.4
2011-08-03,27.9,28.4,49.9,22.4
2011-09-07,27.9,28.4,49.9,22.4
2011-10-05,27.9,28.4,49.9,22.4
2011-11-02,27.9,28.4,49.9,22.4
2011-12-07,27.9,28.4,49.9,22.4
2012-01-04,27.9,28.4,49.9,22.4
2012-02-08,27.9,28.4,49.9,22.4
2012-03-07,27.9,28.4,49.9,22.4
2012-04-04,27.9,28.4,49.9,22.4
2012-05-02,27.9,28.4,49.9,22.4
2012-06-06,27.9,28.4,49.9,22.4
2012-07-04,27.9,28.4,49.9,22.4
2012-08-08,27.9,28.4,49.9,22.4
2012-09-05,27.9,28.4,49.9,22.4
2012-10-03,27.9,28.4,49.9,22.4
2012-11-07,27.9,28.4,49.9,22.4
2012-12-05,27.9,28.4,49.9,22.4
2013-01-02,27.9,28.4,49.9,22.4
2013-02-06,27.9,28.4,49.9,22.4
2013-03-06,27.9,28.4,49.9,22.4
2013-04-03,27.9,28.4,49.9,22.4
2013-05-08,27.9,28.4,49.9,22.4
2013-06-05,27.9,28.4,49.9,22.4
2013-07-03,27.9,28.4,49.9,22.4
2013-08-07,27.9,28.4,49.9,22.4
2013-09-04,27.9,28.4,49.9,22.4
2013-10-02,27.9,28.4,49.9,22.4
2013-11-06,27.9,28.4,49.9,22.4
2013-12-04,27.9,28.4,49.9,22.4
2014-01-01,65.4,40,85,67.5
2014-02-05,68.6,48,89.3,70.7
2014-03-05,58,48,65.6,79.9
2014-04-02,58,48.8,65.6,85.6
2014-05-07,59,44.8,64.6,38.7
2014-06-04,63.5,43.8,60,80.1
2014-07-02,62.2,47,51,79.5
2014-08-06,61.1,49.4,20,32.6
2014-09-03,61.3,46.4,47,19.5
2014-10-01,60,46.4,48.4,18.7
2014-11-05,54.7,47.8,52.7,26.8
2014-12-03,55.9,47.4,9.3,68.7
2015-01-07,57.3,46.4,4.6,40.9
2015-02-04,56.2,36.4,5.3,38.7
2015-03-04,56.2,36.4,6.2,34.7
2015-04-01,55.3,36.4,33.6,34.7
2015-05-06,55,47.6,67,36.8
2015-06-03,54.4,48.6,74,30.7
2015-07-01,54.4,48.6,40.1,64.8
2015-08-05,43.6,49.6,73.6,69.7
2015-09-02,42.5,49.6,73.3,62.7
2015-10-07,43.4,74.6,53.3,65.4
2015-11-04,63.3,74.6,54.5,75.8
2015-12-02,60.9,39.6,52.7,88.8
2016-01-06,45.4,39.6,37.5,94.7
2016-02-03,46.3,39.6,21.1,87.7
2016-03-02,46.2,66,46.5,87.5
