date,L1_score,L2_score,L3_score,L4_score,L5_score,master_score,warm_up_complete
2014-01-01,65.4,40.0,85.0,67.5,70.0,66.9,1
2014-02-05,68.6,48.0,89.3,70.7,47.8,64.7,1
2014-03-05,58.0,48.0,65.6,79.9,69.7,63.1,1
2014-04-02,58.0,48.8,65.6,85.6,71.9,64.4,1
2014-05-07,59.0,44.8,64.6,38.7,71.9,59.2,1
2014-06-04,63.5,43.8,60.0,80.1,64.2,61.7,1
2014-07-02,62.2,47.0,51.0,79.5,59.1,58.6,1
2014-08-06,61.1,49.4,20.0,32.6,62.8,48.7,1
2014-09-03,61.3,46.4,47.0,19.5,70.8,54.4,1
2014-10-01,60.0,46.4,48.4,18.7,41.9,47.0,1
2014-11-05,54.7,47.8,52.7,26.8,40.3,46.9,1
2014-12-03,55.9,47.4,9.3,68.7,38.6,42.3,1
2015-01-07,57.3,46.4,4.6,40.9,45.6,40.6,1
2015-02-04,56.2,36.4,5.3,38.7,52.5,40.4,1
2015-03-04,56.2,36.4,6.2,34.7,49.7,39.5,1
2015-04-01,55.3,36.4,33.6,34.7,38.9,42.0,1
2015-05-06,55.0,47.6,67.0,36.8,39.4,50.6,1
2015-06-03,54.4,48.6,74.0,30.7,47.2,53.3,1
2015-07-01,54.4,48.6,40.1,64.8,43.9,49.1,1
2015-08-05,43.6,49.6,73.6,69.7,37.2,51.5,1
2015-09-02,42.5,49.6,73.3,62.7,34.7,49.8,1
2015-10-07,43.4,74.6,53.3,65.4,42.2,52.0,1
2015-11-04,63.3,74.6,54.5,75.8,48.3,60.7,1
2015-12-02,60.9,39.6,52.7,88.8,48.3,55.7,1
2016-01-06,45.4,39.6,37.5,94.7,49.7,49.0,1
2016-02-03,46.3,39.6,21.1,87.7,50.3,45.4,1
2016-03-02,46.2,66.0,46.5,87.5,54.4,55.4,1
2016-04-06,44.1,66.0,73.4,78.9,60.3,60.8,1
2016-05-04,43.1,76.8,83.0,76.6,68.1,65.7,1
2016-06-01,44.6,76.8,91.1,72.4,58.3,64.9,1
2016-07-06,39.4,76.8,94.5,72.8,54.7,63.2,1
2016-08-03,39.8,78.8,61.3,38.9,50.8,52.6,1
2016-09-07,40.5,68.8,28.8,33.7,58.9,46.3,1
2016-10-05,39.1,70.8,28.4,28.9,57.5,45.3,1
2016-11-02,39.7,70.8,24.1,21.7,58.9,44.2,1
2016-12-07,40.2,73.2,52.6,26.0,66.4,52.8,1
2017-01-04,31.5,81.6,20.5,29.2,67.8,45.7,1
2017-02-01,33.3,81.6,46.8,64.8,75.8,57.0,1
2017-03-01,45.7,81.6,53.8,66.8,77.8,62.8,1
2017-04-05,49.0,77.6,84.6,74.6,41.1,61.0,1
2017-05-03,47.0,78.4,51.3,78.7,33.3,52.3,1
2017-06-07,46.8,79.9,58.5,71.0,31.9,52.8,1
2017-07-05,47.7,81.9,49.1,36.1,30.8,47.7,1
2017-08-02,50.3,81.9,49.5,29.3,30.0,47.7,1
2017-09-06,50.1,81.9,18.5,16.7,29.7,40.1,1
2017-10-04,50.0,81.9,47.7,11.5,36.4,47.1,1
2017-11-01,49.0,81.9,47.9,10.0,36.9,46.8,1
2017-12-06,65.6,81.7,53.0,20.9,37.5,54.0,1
2018-01-03,66.6,84.2,65.7,55.7,36.9,60.5,1
